Company,Production (Mbbl/Day),based,Ownership,drillsites
Saudi Aramco,12.5,Saudi Arabia,Government 100%,Saudi Arabia
Gazprom,9.7, Russia,Government 38.373% Rosneftegaz 10.97% Rosgazifikatsiya 889% American Depository Receipts 28.392% Other Holders 21.376%,Russia
National Iranian Oil,6.4, Iran,Government 100%, Iran
ExxonMobil,5.3, US, individual investors 100%, US 40.7% Gulf of Mexico 3.4% Canada 18% Argentina 2.6% Germany 13.9% Netherlands 4.3% Norway 1.1% UK 1.4% Angola 1.1% Equitorial Guinea .8% Indonesia 1.4% Iraq 1.7% Kazakhstan .8% Malaysia .5% Australia 4.4% Papua New Guinea 3.2% 
PetroChina,4.4,China,individual investors 13% State 87%,Canada Columbia Venezuela Ecuador Peru Australia Indonesia Thailand Myanmar China Mongolia Kazakhstan Uzbekistan Azerbaijan Turkmenistan Russia Iran Syria Iraq Oman  Qatar Libya Tunisia Algeria Niger Chad Sudan Nigeria South Sudan
BP,4.1, Britain, individual investors 100%, Canada US Bolivia Argentina Venezuela Britain Norway Algeria Angola Egypt Azerbaijan Iraq Oman India Indonesia Australia
Royal Dutch Shell,3.6, Netherlands, Public 79.74% institutional 20.26%,Denmark Ireland Italy Netherlands Norway UK Albania Germany Greenland Brunei China Indonesia Iran Iraq Kazakhstan Malaysia Oman Qatar Russia UAE Jordan Kuwait Myanmar Phillipines Turkey Australia New Zealand Nigeria Algeria Egypt Gabon Namibia South Africa Tanzania Canada US Brazil Argentina Colombia French Guiana Peru Trinidad and Tobago
Pemex,3.6, Mexico,Government 100%,Mexico
Chevron,3.5, US,100% public,Nigeria Angola Thailand Indonesia Bangladesh Australia Phillipines China Myanmar New Zealand Kazakhstan Azerbaijan Russia Georgia Turkey UK Denmark Greenland Norway Columbia Venezuela Argentina Brazil Suriname Trinidad and Tobago Saudi Arabia Iraq
Kuwait Petroleum,3.2, Kuwait,Government 100%, Kuwait and small amount from KUFPEC
Abu Dhabi National Oil Co,2.9, UAE, Government 100%, Mostly UAE
Sonatrach,2.7, Algeria, Government 100%, Algeria
Total,2.7, France,90.8% individual investors,Algeria Angola Republic of Congo Nigeria Bolivia Australia Britain Norway Russia
Petrobras,2.6, Brasil,54% individual investments 46% government, USA Mexico Angola Libya Peru Nigeria Argentina Tanzania Turkey Portugal Bolivia Colombia Venezuela Namibia Benin Gabon Brasil
Rosneft,2.6, Russia,Government 69.5% BP 19.75% Investors 10%,Russia
Iraqi Oil Ministry,2.3, Iraq, Government 100%, Iraq
Qatar Petroleum,2.3, Qatar,Government 100% ,Qatar
Lukoil,2.2, Russia,individual investors 100%,Norway Romania Iraq Azerbaijan Kazakhstan Uzbekistan Saudi Arabia Egypt Cameroon Ghana Cote d'ivoire Russia
Eni,2.2, Italy,68% indivdual investors 32% government,Italy Algeria Angola Congo Egypt Ghana Libya Mozambique Nigeria Norway Kazakhstan UK US Venezuela
Statoil,2.1, Norway,32% public 67% government,Norway Algeria Angola Azerbaijan Australia Brazil Canada Colombia Greenland Indonesia Ireland Libya India Mexico Myanmar New Zealand Nigeria Russia Suriname Tanzania Turkey UK US Venezuela
ConocoPhillips,2, US,100% public,US Canada UK Norway Libya China Malaysia Indonesia Australia
Petroleos de Venezuela,1.9, Venezuela,Government 100%,Venezuela
Sinopec,1.6, China,48.3% public 51.7% Government,Canada US Equador Colombia Venezuela Trinidad and Tobago Brazil Argentina UL Iraq Russia Algeria Kazakhstan Syria Saudi Arabia Yemen Indonesia Australia Nigeria Gabon Cameroon Yemen Myanmar Sudan Angola
Nigerian National Petroleum,1.4, Nigeria,Government 100%,Nigeria
Petronas,1.4, Malaysia,35.3% public 54.7% government,Canada Mauritania Egypt Sudan South Sudan Chad Iraq Turkmenistan China Myanmar Australia Indonesia Malaysia Vietnam Uzbekistan
,,,,
