Company,Production (Mbbl/Day),based,Ownership,drillsites
Saudi Aramco,12.5,19,Government 100%,19
Gazprom,9.7,10,Government 38.373% Rosneftegaz 10.97% Rosgazifikatsiya 889% American Depository Receipts 28.392% Other Holders 21.376%,10
National 28ian Oil,6.4,28,Government 100%,28
ExxonMobil,5.3,1, individual investors 100%, 1 11 24 4 17 26 5 58 121 16 47 48 35 12 115
Petro2,4.4,2,individual investors 13% State 87%,11 32 31 63 52 12 16 29 72 2 133 48 74 69 87 10 28 196 47 65  50 91 84 49 144 124 70 22 126
BP,4.1,5, individual investors 100%, 11 1 98 24 31 5 26 49 58 38 69 47 65 9 16 12
Royal Dutch Shell,3.6,17, Public 79.74% institutional 20.26%,34 43 8 17 26 5 127 4 167 113 2 16 28 47 48 35 65 50 10 30 94 57 72 40 18 12 53 22 49 38 112 128 33 86 11 1 7 24 32 6 52 102
Pemex,3.6,15,Government 100%,15
Chevron,3.5,1,100% public,22 58 29 16 56 12 40 2 72 53 48 69 10 117 18 5 34 167 26 32 31 24 7 153 102 19 47
Kuwait Petroleum,3.2,57,Government 100%, 57 93 38 154 126 84 5 26 11 44 16 35 12 2 40
Abu Dhabi National Oil Co,2.9,30, Government 100%,30
Sonatrach,2.7,49, Government 100%,49
Total,2.7,6,90.8% individual investors,49 58 123 22 98 12 5 26 10
Petrobras,2.6,7,54% individual investments 46% government, 1 15 58 91 52 22 24 86 18 46 98 32 31 128 140 112 7
Rosneft,2.6,10,Government 69.5% BP 19.75% Investors 10%,10
iraqi Oil Ministry,2.3,47, Government 100%,47
50 Petroleum,2.3,50,Government 100% ,50
L5oil,2.2,10,individual investors 100%,26 54 47 69 48 74 19 38 99 92 95 10
Eni,2.2,8,68% indivdual investors 32% government,8 49 58 123 38 92 91 118 22 26 48 5 1 31
Statoil,2.1,26,32% public 67% government,26 49 58 69 12 7 11 32 167 16 43 91 9 15 72 53 22 10 153 86 18 5 1 31
ConocoPhillips,2,1,100% public,1 11 5 26 91 2 35 16 12
Petroleos de Venezuela,1.9,31,Government 100%,31
Sinopec,1.6,2,48.3% public 51.7% Government,11 1 63 32 31 102 7 24 5 47 10 49 48 196 19 93 16 12 22 112 99 93 72 70 58
22n National Petroleum,1.4,22,Government 100%,22
Petronas,1.4,35,35.3% public 54.7% government,11 154 38 70 126 124 47 87 2 72 12 16 35 55 74
