Oil products balance of trade (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
OECD,118.5,91.3,76.2,57.7,72.8,71.3,81.9,56.8,61.2,87.3,102.8,103.6,112.2,113.1,113.4,132.7,122.2,96.6,66.3,58.9,55.6,21.4,-7.6,-15.2,-32.9,-50.9,,
G7,115.4,95.3,86.5,63.5,67.4,70.0,79.6,59.7,70.6,87.3,90.4,88.6,79.7,80.0,76.4,86.9,81.9,43.8,10.9,4.8,3.7,-16.5,-31.8,-34.7,-41.7,-54.9,,
BRICS,-55.3,-42.3,-30.8,-13.5,-20.4,-9.5,-12.8,-7.1,3.1,-11.5,-34.9,-41.1,-55.1,-54.2,-52.3,-74.2,-72.1,-80.8,-81.0,-108.7,-111.8,-98.6,-107.0,-126.7,-139.2,-133.8,,
Europe,34.3,38.8,32.3,21.7,16.9,26.2,25.6,20.8,22.8,33.5,37.1,41.7,45.6,40.2,25.6,35.7,39.6,28.2,34.0,46.0,46.6,35.1,16.1,26.3,26.1,9.6,,
European Union,26.4,32.3,25.8,15.0,10.2,17.8,15.9,10.3,12.2,23.1,22.5,29.3,31.5,27.4,11.6,20.7,23.7,11.6,16.1,21.3,22.7,15.1,-8.3,1.9,2.8,-14.4,,
Belgium,-4.5,-5.4,-4.4,-3.7,-1.6,0.1,-2.7,-3.5,-3.7,-4.0,-4.4,-3.4,-4.1,-3.5,-2.6,0.5,0.1,-1.4,1.5,0.9,1.8,1.2,-2.3,1.8,-2.6,-0.6,,
Czech Rep.,1.2,0.8,1.2,1.2,1.0,0.9,0.6,1.0,1.4,1.8,1.9,2.2,1.9,2.0,2.5,1.9,1.7,2.2,1.6,1.9,1.1,1.6,1.3,1.5,1.3,1.4,,
France,11.1,14.0,12.2,9.5,8.2,9.4,6.2,2.3,5.3,11.5,9.2,8.0,12.9,8.1,8.6,9.9,10.7,10.0,5.5,13.8,17.8,17.7,23.1,22.2,22.5,20.9,,
Germany,31.5,39.3,32.7,30.9,25.7,29.1,32.0,36.6,29.5,23.9,23.6,25.2,17.8,17.2,10.3,8.7,9.8,0.6,9.3,10.6,17.7,15.0,13.7,17.6,16.8,16.1,,
Italy,6.6,2.8,4.5,2.5,3.6,8.3,8.1,1.2,-0.8,-0.1,-1.0,-5.8,-2.7,-5.1,-9.3,-14.3,-12.1,-16.9,-14.5,-12.5,-16.4,-14.3,-17.8,-11.6,-8.3,-15.1,,
Netherlands,-17.3,-18.9,-21.5,-21.9,-21.4,-27.3,-26.7,-24.8,-25.9,-22.7,-18.8,-18.9,-14.2,-15.1,-15.1,-13.0,-11.6,-10.3,-8.7,-11.6,-14.9,-12.9,-11.4,-11.7,-14.1,-16.1,,
Poland,1.2,1.1,0.6,0.7,1.0,1.3,2.3,3.0,2.6,1.9,1.2,1.2,1.6,2.3,3.1,3.4,3.1,3.4,2.6,2.9,1.9,0.7,-1.0,-2.2,-2.3,-3.1,,
Portugal,1.0,2.1,1.8,1.3,-1.0,0.6,1.2,0.9,2.1,2.9,3.7,3.5,4.3,2.9,2.4,3.3,-0.1,1.0,1.3,1.7,0.7,1.0,-0.8,-3.0,-1.8,-4.0,,
Romania,-4.8,-0.7,-0.6,-0.9,-3.3,-1.7,-0.5,1.1,-0.5,-0.6,-1.2,-0.1,-2.5,-1.6,-2.4,-4.7,-3.9,-3.0,-3.2,-2.5,-1.3,-1.3,-0.6,-1.5,-2.4,-1.9,,
Spain,-4.6,-3.5,-2.7,-2.6,-0.7,3.0,3.0,5.8,6.7,10.1,12.2,15.0,16.7,17.2,17.5,19.3,18.0,19.9,16.5,15.1,12.8,9.9,-0.6,-4.2,-2.7,-5.4,,
Sweden,-2.1,-1.7,-2.4,-2.7,-1.3,-2.0,-1.7,-3.7,-2.4,-3.7,-4.9,-3.3,-2.4,-2.4,-4.0,-2.9,-3.5,-2.6,-4.6,-4.4,-4.2,-3.1,-6.4,-2.8,-4.5,-7.1,,
United Kingdom,-6.1,-9.6,-11.0,-14.4,-12.9,-13.0,-15.2,-18.0,-13.0,-7.8,-6.5,-2.1,-8.0,-6.4,-12.0,-7.4,-2.1,-4.8,-4.6,-3.6,-2.1,-5.0,-3.3,2.0,6.4,9.3,,
