Ranking,Economy,Size
1,United States of America,17419000
2,China,10354832
3,Japan,4601461
4,Germany,3868291
5,United Kingdom,2988893
6,France,2829192
7,Brazil,2416636
8,Italy,2141161
9,India,2048517
10,Russian Federation,1860598
11,Canada,1785387
12,Australia,1454675
13,Republic of Korea,1410383
14,Spain,1381342
15,Mexico,1294690
16,Indonesia,888538
17,Netherlands,879319
18,Turkey,798429
19,Saudi Arabia,753832
20,Switzerland,701037
21,Sweden,571090
22,Nigeria,568508
23,Poland,544967
24,Argentina,537660
25,Belgium,531547
26,Norway,499817
27,Austria,436888
28,Iran (Islamic Republic of),425326
29,Thailand,404824
30,United Arab Emirates,399451
31,Venezuela (Bolivian Republic of),381286
32,Colombia,377740
33,South Africa,350141
34,Denmark,342362
35,Malaysia,338104
36,Singapore,307860
37,Israel,305675
38,Egypt Arab Rep.,301499
39,Hong Kong SAR China,290896
40,Philippines,284777
41,Finland,272217
42,Chile,258062
43,Ireland,250814
44,Pakistan,243632
45,Greece,235574
46,Portugal,230117
47,Iraq,223500
48,Kazakhstan,217872
49,Algeria,213518
50,Qatar,210109
51,Czech Republic,205270
52,Peru,202596
53,New Zealand,199970
54,Romania,199044
55,Vietnam,186205
56,Bangladesh,172887
57,Kuwait,163612
58,Angola,138357
59,Hungary,138347
60,Ukraine,131805
61,Morocco,110009
62,Puerto Rico,103135
63,Ecuador,100917
64,Slovakia,100249
65,Oman,81797
66,Sri Lanka,78824
67,Cuba,77150
68,Belarus,76139
69,Azerbaijan,75198
70,Sudan,73815
71,Luxembourg,64874
72,Myanmar,64330
73,Dominican Republic,64138
74,Uzbekistan,62644
75,Kenya,60937
76,Guatemala,58827
77,Uruguay,57471
78,Croatia,57113
79,Bulgaria,56717
80,Ethiopia,55612
81,Macao SAR China,55502
82,Costa Rica,49553
83,Slovenia,49491
84,Tunisia,48613
85,Lithuania,48354
86,Tanzania,48057
87,Turkmenistan,47932
88,Panama,46213
89,Lebanon,45731
90,Serbia,43866
91,Libya,41143
92,Ghana,38617
93,Yemen Rep.,35955
94,Jordan,35827
95,Cªte d'Ivoire,34254
96,Bahrain,33851
97,Congo Dem. Rep.,33121
98,Bolivia,32996
99,Cameroon,32051
100,Latvia,31287
101,Paraguay,30881
102,Trinidad and Tobago,28883
103,Zambia,27066
104,Uganda,26998
105,Estonia,26485
106,El Salvador,25164
107,Cyprus,23226
108,Afghanistan,20038
109,Nepal,19770
110,Honduras,19385
111,Bosnia and Herzegovina,18521
112,Gabon,18180
113,Brunei Darussalam,17105
114,Iceland,17036
115,Papua New Guinea,16929
116,Cambodia,16778
117,Georgia,16530
118,Mozambique,15938
119,Botswana,15813
120,Senegal,15658
121,Equatorial Guinea,15530
122,Zimbabwe,14197
123,Congo Rep.,14177
124,Chad,13922
125,Jamaica,13891
126,South Sudan,13282
127,Albania,13212
128,Namibia,12995
129,West Bank and Gaza,12738
130,Mauritius,12630
131,Burkina Faso,12542
132,Mali,12037
133,Mongolia,12016
134,Lao PDR,11997
135,Nicaragua,11806
136,Armenia,11644
137,Macedonia FYR,11324
138,Madagascar,10593
139,Malta,9643
140,Benin,9575
141,Tajikistan,9242
142,Haiti,8713
143,Bahamas The,8511
144,Niger,8169
145,Moldova,7962
146,Rwanda,7890
147,Kyrgyz Republic,7404
148,Kosovo,7387
149,Guinea,6624
150,Somalia,5707
151,Bermuda,5574
152,Liechtenstein,5488
153,Suriname,5210
154,Mauritania,5061
155,Sierra Leone,4838
156,Montenegro,4588
157,Fiji,4532
158,Togo,4518
159,Swaziland,4413
160,Barbados,4355
161,Malawi,4258
162,Andorra,3249
163,Guyana,3097
164,Burundi,3094
165,Maldives,3062
166,Faroe Islands,2613
167,Greenland,2441
168,Lesotho,2181
169,Liberia,2013
170,Bhutan,1959
171,Cabo Verde,1871
172,Central African Republic,1723
173,Belize,1699
174,Djibouti,1589
175,Seychelles,1423
176,Timor-Leste,1417
177,St. Lucia,1404
178,Antigua and Barbuda,1221
179,Solomon Islands,1158
180,Guinea-Bissau,1022
181,Grenada,912
182,St. Kitts and Nevis,852
183,Gambia,851
184,Vanuatu,815
185,Samoa,800
186,St. Vincent and the Grenadines,729
187,Comoros,624
188,Dominica,524
189,Tonga,434
190,Sao Tome and Principe,337
191,Micronesia Fed. Sts.,318
192,Palau,251
193,Marshall Islands,187
194,Kiribati,167
195,Tuvalu,38
196,Syrian Arab Republic,0
