 Oil trade in 2014 and 2015  ,,,,,,,,
,,2014 ,,,,2015 ,,
, Crude , Product , Crude , Product , Crude , Product , Crude , Product 
 Million tonnes , Imports , Imports , Exports , Exports , Imports , Imports , Exports , Exports 
 US , 365.7 , 90.7 , 17.8 , 175.9 , 366.0 , 98.1 , 24.5 , 198.3 
 Canada , 29.0 , 26.6 , 148.5 , 26.3 , 32.7 , 29.3 , 159.4 , 30.0 
 Mexico ,    , 31.8 , 56.5 , 7.5 ,    , 37.0 , 59.8 , 8.2 
 S. & Cent. America , 23.4 , 86.3 , 162.5 , 31.5 , 20.1 , 91.3 , 172.4 , 29.0 
 Europe , 449.7 , 171.6 , 10.1 , 111.3 , 488.1 , 184.0 , 10.2 , 129.2 
 Russia , 1.5 , 3.0 , 241.2 , 143.5 , 2.9 , 2.0 , 254.7 , 150.1 
 Other CIS , 23.2 , 13.7 , 80.7 , 15.3 , 23.2 , 12.9 , 81.0 , 11.9 
 Middle East , 10.9 , 43.7 , 852.0 , 135.7 , 7.9 , 37.1 , 879.6 , 141.3 
 North Africa , 9.7 , 29.2 , 61.8 , 21.7 , 8.1 , 32.7 , 61.5 , 19.0 
 West Africa , 0.5 , 26.6 , 216.9 , 7.6 , 0.5 , 28.1 , 215.5 , 6.2 
 East & S. Africa , 11.1 , 23.4 , 9.3 , 1.7 , 6.7 , 22.4 , 8.4 , 1.5 
 Australasia , 26.8 , 21.7 , 11.4 , 3.4 , 24.5 , 25.8 , 9.2 , 3.0 
 China , 309.2 , 56.9 , 0.6 , 31.4 , 335.8 , 69.5 , 2.8 , 36.7 
 India , 188.4 , 16.9 ,    , 57.7 , 195.1 , 23.3 , 0.2 , 55.0 
 Japan , 168.5 , 47.8 ,    , 13.6 , 167.8 , 46.7 , 0.3 , 17.4 
 Singapore , 45.5 , 109.1 ,    , 81.6 , 45.7 , 125.7 , 0.1 , 88.7 
 Other Asia Pacific , 241.6 , 154.6 , 35.0 , 88.1 , 252.3 , 163.3 , 37.8 , 103.6 
Total World,1904.4 ,953.7 ,1904.4 ,953.7 ,1977.2 ,1029.3 ,1977.2 ,1029.3 
,,,,,,,,
, Crude , Product , Crude , Product , Crude , Product , Crude , Product 
 Thousand barrels daily , Imports , Imports , Exports , Exports , Imports , Imports , Exports , Exports 
 US ,7343 ,1897 ,357 ,3677 ,7351 ,2050 ,491 ,4145 
 Canada ,582 ,556 ,2983 ,550 ,657 ,613 ,3200 ,627 
 Mexico ,à ,664 ,1135 ,157 ,à ,774 ,1201 ,171 
 S. & Cent. America ,470 ,1804 ,3264 ,658 ,404 ,1908 ,3462 ,605 
 Europe ,9031 ,3588 ,204 ,2327 ,9801 ,3847 ,204 ,2701 
 Russia ,30 ,62 ,4843 ,2999 ,57 ,41 ,5115 ,3139 
 Other CIS ,465 ,287 ,1620 ,320 ,465 ,269 ,1626 ,249 
 Middle East ,218 ,914 ,17109 ,2836 ,158 ,776 ,17665 ,2954 
 North Africa ,194 ,610 ,1241 ,454 ,162 ,683 ,1235 ,397 
 West Africa ,10 ,555 ,4356 ,159 ,9 ,588 ,4327 ,130 
 East & S. Africa ,224 ,490 ,187 ,36 ,134 ,467 ,170 ,32 
 Australasia ,538 ,453 ,230 ,70 ,491 ,540 ,184 ,63 
 China ,6209 ,1189 ,12 ,657 ,6743 ,1453 ,57 ,767 
 India ,3783 ,354 ,1 ,1207 ,3919 ,488 ,3 ,1150 
 Japan ,3384 ,999 ,à ,283 ,3370 ,976 ,6 ,363 
 Singapore ,914 ,2282 ,à ,1706 ,918 ,2628 ,1 ,1855 
 Other Asia Pacific ,4852 ,3232 ,702 ,1841 ,5067 ,3415 ,759 ,2166 
Total World,38245 ,19937 ,38245 ,19937 ,39707 ,21516 ,39707 ,21516 
,,,,,,,,
  Less than 0.05.,,,,,,,,
à  Less than 0.5.,,,,,,,,
" Notes: Bunkers are not included as exports. Intra-area movements (for example, between countries in Europe) are excluded. ",,,,,,,,
 Crude imports and exports include condensates. ,,,,,,,,
