Oil: Production*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,,
Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,9014,9579,10219,10600,10828,11297,11156,11185,10946,10461,10008,9736,9863,10274,10136,10170,10181,10199,10247,10509,10580,10231,9944,9765,9159,8914,9076,8868,8583,8389,8322,8295,8269,8011,7731,7732,7669,7625,7367,7250,6900,6826,6860,6785,7264,7550,7853,8883,10059,11723,12704,8.5%,13.0%,,
Canada,920,1012,1106,1194,1306,1473,1582,1829,2114,1993,1735,1598,1608,1597,1835,1764,1610,1590,1661,1775,1813,1805,1909,2002,1961,1968,1984,2066,2189,2281,2402,2480,2588,2672,2604,2703,2728,2858,3003,3080,3041,3208,3290,3207,3202,3332,3515,3740,4000,4278,4385,2.8%,4.9%,,
Mexico,362,370,411,439,461,487,486,506,525,653,806,894,1085,1327,1607,2129,2553,3001,2930,2942,2912,2758,2879,2877,2897,2941,3100,3098,3118,3138,3057,3273,3411,3501,3354,3459,3571,3596,3798,3832,3767,3692,3481,3167,2980,2961,2942,2912,2876,2785,2588,-7.0%,2.9%,,
Total North America,10296,10961,11736,12233,12595,13257,13224,13520,13585,13107,12549,12228,12556,13198,13578,14063,14344,14790,14838,15226,15305,14794,14732,14644,14018,13823,14159,14032,13890,13808,13781,14047,14267,14184,13690,13894,13969,14079,14169,14162,13708,13726,13631,13159,13447,13843,14310,15535,16934,18786,19676,4.7%,20.9%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,276,293,319,348,362,399,432,444,434,423,406,408,442,466,487,506,519,517,520,509,491,465,459,481,492,517,526,587,630,695,758,823,877,890,847,831,910,899,900,868,839,838,798,772,716,704,649,652,643,636,637,0.1%,0.7%,,
Brazil,96,117,147,161,176,167,175,171,174,181,178,173,167,166,172,188,220,268,340,473,560,591,589,573,613,650,643,652,664,693,718,807,868,1003,1133,1271,1337,1499,1555,1543,1713,1809,1833,1899,2029,2137,2193,2149,2114,2346,2527,7.9%,3.0%,,
Colombia,203,199,192,176,214,226,224,203,192,175,164,153,144,137,129,131,140,147,158,173,183,307,388,380,407,446,430,442,458,460,591,635,667,775,838,687,604,578,541,528,526,529,531,588,671,786,915,944,1004,990,1008,1.7%,1.2%,,
Ecuador,8,7,6,5,4,4,4,78,209,177,161,188,184,204,216,206,213,213,240,261,286,298,176,309,286,292,307,328,353,388,395,393,397,385,383,403,410,394,420,528,534,538,513,507,488,488,501,505,527,557,543,-2.4%,0.7%,,
Peru,66,66,74,77,75,75,64,67,73,79,73,77,92,152,193,196,194,196,171,185,189,179,165,142,131,130,116,117,127,128,123,121,120,116,107,97,95,95,89,86,92,97,96,99,107,113,109,110,112,124,113,-11.1%,0.1%,,
Trinidad & Tobago,135,153,179,191,157,140,129,141,166,187,216,212,229,230,214,212,189,177,160,170,176,169,155,151,149,150,149,144,134,141,142,141,135,134,141,138,134,154,164,152,170,177,154,152,150,147,139,118,118,116,110,-4.8%,0.1%,,
Venezuela,3503,3402,3576,3639,3631,3754,3615,3301,3455,3060,2422,2371,2314,2227,2425,2228,2163,1954,1852,1853,1744,1886,1910,1998,2012,2244,2501,2499,2592,2752,2959,3137,3321,3480,3126,3097,3169,2974,2868,3305,3308,3336,3230,3222,3033,2838,2758,2701,2678,2685,2626,-2.1%,3.1%,,
Other S. & Cent. America,47,54,78,85,84,64,80,89,90,86,78,78,68,66,66,80,87,99,98,95,91,89,86,77,76,77,77,76,83,90,96,102,108,125,124,126,134,149,149,144,146,140,139,138,129,134,137,143,148,151,148,-1.8%,0.2%,,
Total S. & Cent. America,4334,4291,4571,4682,4702,4829,4723,4494,4792,4368,3698,3660,3640,3648,3903,3747,3725,3571,3539,3719,3720,3984,3928,4111,4166,4507,4749,4845,5040,5347,5782,6159,6493,6908,6699,6650,6794,6742,6687,7153,7328,7463,7295,7376,7322,7348,7401,7322,7344,7605,7712,1.5%,9.1%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,274,268,286,280,268,254,240,228,207,193,185,183,182,231,279,281,300,307,308,309,445,646,856,895,1014,1023,919,872,877,849,841,-1.0%,1.0%,,
Denmark,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,3,2,3,4,10,8,8,6,15,34,43,47,60,74,93,96,112,121,142,157,168,185,186,208,230,238,299,363,348,371,368,390,380,346,311,287,265,249,225,204,178,167,158,-5.4%,0.2%,,
Italy,48,39,37,35,34,32,29,25,23,23,27,28,27,31,36,35,31,37,47,47,50,53,82,100,96,97,90,93,96,102,109,113,124,117,104,95,86,115,116,113,127,120,122,108,95,106,110,112,116,121,115,-5.1%,0.1%,,
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,485,503,523,545,556,571,589,569,507,446,450,493,557,558,656,740,841,993,1081,1248,1294,1368,1413,1483,1609,1676,1684,1662,1720,1701,1669,-1.9%,1.8%,,
Norway,n/a,n/a,n/a,n/a,n/a,n/a,6,33,32,35,189,279,287,356,407,528,512,532,661,752,823,907,1054,1196,1567,1716,1955,2217,2377,2693,2903,3232,3280,3138,3139,3346,3418,3333,3264,3180,2961,2772,2551,2466,2349,2136,2040,1917,1838,1889,1948,3.2%,2.0%,,
Romania,266,271,279,280,281,284,292,298,304,308,311,313,313,293,265,250,254,256,252,249,236,223,211,205,202,169,146,142,144,145,145,142,141,137,133,132,131,128,124,120,114,105,100,99,94,90,89,83,86,84,84,-1.1%,0.1%,,
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10863,11247,11416,11373,11070,10342,9264,7978,7119,6371,6236,6062,6171,6110,6119,6583,7106,7755,8603,9335,9597,9818,10043,9950,10139,10366,10518,10639,10779,10838,10980,1.2%,12.4%,,
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,142,138,135,120,121,120,113,109,92,87,84,90,108,129,143,142,159,179,200,193,193,187,199,211,214,220,220,229,240,249,261,5.0%,0.3%,,
United Kingdom,2,2,2,2,2,4,5,8,9,10,34,254,799,1127,1623,1676,1868,2167,2422,2652,2695,2691,2612,2414,1943,1933,1934,1996,2135,2694,2769,2755,2721,2828,2930,2714,2518,2504,2296,2064,1843,1666,1659,1555,1477,1361,1116,949,867,855,965,13.4%,1.0%,,
