Oil:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total proved reserves,at end 1995,at end 2005,at end 2014,,at end 2015,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Thousand,Thousand,Thousand,Thousand,,,,,,,,,,,,,,,,,,,,,,,
,million,million,million,million,million,Share,R/P,,,,,,,,,,,,,,,,,,,,,
,barrels,barrels,barrels,barrels,tonnes,of total,ratio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,29.8,29.9,55.0,55.0,6.6,3.2%,11.9,,,,,,,,,,,,,,,,,,,,,
Canada,48.4,180.0,172.2,172.2,27.8,10.1%,107.6,,,,,,,,,,,,,,,,,,,,,
Mexico,48.8,13.7,10.8,10.8,1.5,0.6%,11.5,,,,,,,,,,,,,,,,,,,,,
Total North America,126.9,223.6,238.0,238.0,35.9,14.0%,33.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2.4,2.2,2.4,2.4,0.3,0.1%,10.2,,,,,,,,,,,,,,,,,,,,,
Brazil,6.2,11.8,16.2,13.0,1.9,0.8%,14.1,,,,,,,,,,,,,,,,,,,,,
Colombia,3.0,1.5,2.4,2.3,0.3,0.1%,6.3,,,,,,,,,,,,,,,,,,,,,
Ecuador,3.4,4.9,8.0,8.0,1.2,0.5%,40.4,,,,,,,,,,,,,,,,,,,,,
Peru,0.8,1.1,1.4,1.4,0.2,0.1%,34.3,,,,,,,,,,,,,,,,,,,,,
Trinidad & Tobago,0.7,0.8,0.8,0.7,0.1,_,18.1,,,,,,,,,,,,,,,,,,,,,
Venezuela,66.3,80.0,300.0,300.9,47.0,17.7%,313.9,,,,,,,,,,,,,,,,,,,,,
Other S. & Cent. America,1.0,1.5,0.5,0.5,0.1,_,9.9,,,,,,,,,,,,,,,,,,,,,
Total S. & Cent. America,83.7,103.6,331.7,329.2,51.0,19.4%,117.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,1.2,7.0,7.0,7.0,1.0,0.4%,22.8,,,,,,,,,,,,,,,,,,,,,
Denmark,0.9,1.3,0.6,0.6,0.1,_,9.6,,,,,,,,,,,,,,,,,,,,,
Italy,0.8,0.5,0.6,0.6,0.1,_,14.7,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,5.3,9.0,30.0,30.0,3.9,1.8%,49.3,,,,,,,,,,,,,,,,,,,,,
Norway,10.8,9.7,6.5,8.0,1.0,0.5%,11.3,,,,,,,,,,,,,,,,,,,,,
Romania,1.0,0.5,0.6,0.6,0.1,_,19.5,,,,,,,,,,,,,,,,,,,,,
Russian Federation,113.6,104.4,103.2,102.4,14.0,6.0%,25.5,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,0.5,0.5,0.6,0.6,0.1,_,6.3,,,,,,,,,,,,,,,,,,,,,
United Kingdom,4.5,3.9,2.8,2.8,0.4,0.2%,8.0,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0.3,0.6,0.6,0.6,0.1,_,25.3,,,,,,,,,,,,,,,,,,,,,
Other Europe & Eurasia,2.2,2.2,2.1,2.1,0.3,0.1%,15.0,,,,,,,,,,,,,,,,,,,,,
Total Europe & Eurasia,141.2,139.5,154.6,155.2,21.0,9.1%,24.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,93.7,137.5,157.8,157.8,21.7,9.3%,110.3,,,,,,,,,,,,,,,,,,,,,
Iraq,100.0,115.0,143.1,143.1,19.3,8.4%,97.2,,,,,,,,,,,,,,,,,,,,,
Kuwait,96.5,101.5,101.5,101.5,14.0,6.0%,89.8,,,,,,,,,,,,,,,,,,,,,
Oman,5.2,5.6,5.2,5.3,0.7,0.3%,15.3,,,,,,,,,,,,,,,,,,,,,
Qatar,3.7,27.9,25.7,25.7,2.7,1.5%,37.1,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,261.5,264.2,267.0,266.6,36.6,15.7%,60.8,,,,,,,,,,,,,,,,,,,,,
Syria,2.6,3.0,2.5,2.5,0.3,0.1%,253.7,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,98.1,97.8,97.8,97.8,13.0,5.8%,68.7,,,,,,,,,,,,,,,,,,,,,
Yemen,2.0,2.9,3.0,3.0,0.4,0.2%,176.5,,,,,,,,,,,,,,,,,,,,,
Other Middle East,0.1,0.1,0.2,0.2,^,_,2.8,,,,,,,,,,,,,,,,,,,,,
Total Middle East,663.3,755.5,803.8,803.5,108.7,47.3%,73.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,10.0,12.3,12.2,12.2,1.5,0.7%,21.1,,,,,,,,,,,,,,,,,,,,,
Angola,3.1,9.0,12.7,12.7,1.7,0.7%,19.0,,,,,,,,,,,,,,,,,,,,,
Chad,-,1.5,1.5,1.5,0.2,0.1%,52.4,,,,,,,,,,,,,,,,,,,,,
Republic of Congo ,1.3,1.5,1.6,1.6,0.2,0.1%,15.8,,,,,,,,,,,,,,,,,,,,,
Egypt,3.8,3.7,3.7,3.5,0.5,0.2%,13.2,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0.6,1.8,1.1,1.1,0.1,0.1%,10.4,,,,,,,,,,,,,,,,,,,,,
Gabon,1.5,2.1,2.0,2.0,0.3,0.1%,23.5,,,,,,,,,,,,,,,,,,,,,
Libya,29.5,41.5,48.4,48.4,6.3,2.8%,306.8,,,,,,,,,,,,,,,,,,,,,
Nigeria,20.8,36.2,37.1,37.1,5.0,2.2%,43.2,,,,,,,,,,,,,,,,,,,,,
South Sudan,n/a,n/a,3.5,3.5,0.5,0.2%,64.9,,,,,,,,,,,,,,,,,,,,,
Sudan,0.3,0.6,1.5,1.5,0.2,0.1%,39.2,,,,,,,,,,,,,,,,,,,,,
Tunisia,0.4,0.6,0.4,0.4,0.1,_,18.6,,,,,,,,,,,,,,,,,,,,,
Other Africa,0.7,0.5,3.7,3.7,0.5,0.2%,38.3,,,,,,,,,,,,,,,,,,,,,
Total Africa,72.0,111.3,129.3,129.1,17.1,7.6%,42.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,3.8,3.7,4.0,4.0,0.4,0.2%,28.3,,,,,,,,,,,,,,,,,,,,,
Brunei,1.1,1.1,1.1,1.1,0.1,0.1%,23.8,,,,,,,,,,,,,,,,,,,,,
China,16.4,15.6,18.5,18.5,2.5,1.1%,11.7,,,,,,,,,,,,,,,,,,,,,
India,5.5,5.9,5.7,5.7,0.8,0.3%,18.0,,,,,,,,,,,,,,,,,,,,,
Indonesia,5.0,4.2,3.6,3.6,0.5,0.2%,12.0,,,,,,,,,,,,,,,,,,,,,
Malaysia,5.2,5.3,3.6,3.6,0.5,0.2%,14.2,,,,,,,,,,,,,,,,,,,,,
Thailand,0.3,0.5,0.4,0.4,^,_,2.3,,,,,,,,,,,,,,,,,,,,,
Vietnam,0.8,3.1,4.4,4.4,0.6,0.3%,33.3,,,,,,,,,,,,,,,,,,,,,
Other Asia Pacific,1.1,1.4,1.3,1.3,0.2,0.1%,12.0,,,,,,,,,,,,,,,,,,,,,
Total Asia Pacific,39.1,40.8,42.6,42.6,5.7,2.5%,14.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,1126.2,1374.4,1700.0,1697.6,239.4,100.0%,50.7,,,,,,,,,,,,,,,,,,,,,
of which: OECD,149.2,244.0,253.9,255.3,38.0,15.0%,29.7,,,,,,,,,,,,,,,,,,,,,
                 Non-OECD,976.9,1130.4,1446.1,1442.3,201.3,85.0%,58.0,,,,,,,,,,,,,,,,,,,,,
                 OPEC,786.6,927.8,1211.1,1211.6,169.9,71.4%,86.8,,,,,,,,,,,,,,,,,,,,,
                 Non-OPEC ,339.6,446.6,488.9,486.0,69.4,28.6%,24.9,,,,,,,,,,,,,,,,,,,,,
                 European Union #,8.3,7.0,5.6,5.6,0.7,0.3%,10.1,,,,,,,,,,,,,,,,,,,,,
                 CIS,121.5,122.2,141.9,141.1,19.1,8.3%,27.8,,,,,,,,,,,,,,,,,,,,,
Canadian oil sands: Total,41.5,173.6,166.2,166.2,27.0, , ,,,,,,,,,,,,,,,,,,,,,
of which: Under active development,3.6,10.2,24.4,24.4,4.0, , ,,,,,,,,,,,,,,,,,,,,,
Venezuela: Orinoco Belt,-,-,221.7,222.3,35.7, , ,,,,,,,,,,,,,,,,,,,,,
