Oil: Crude oil prices 1861 - 2015,,,,,,
,,,,,,
US dollars per barrel,,,,,,
Year,$ money of the day,$ 2015,,,,
1861,0.49,12.87,,,,
1862,1.05,24.83,,,,
1863,3.15,60.39,,,,
1864,8.06,121.65,,,,
1865,6.59,101.62,,,,
1866,3.74,60.30,,,,
1867,2.41,40.70,,,,
1868,3.63,64.37,,,,
1869,3.64,64.55,,,,
1870,3.86,72.06,,,,
1871,4.34,85.52,,,,
1872,3.64,71.72,,,,
1873,1.83,36.06,,,,
1874,1.17,24.41,,,,
1875,1.35,29.02,,,,
1876,2.56,56.75,,,,
1877,2.42,53.65,,,,
1878,1.19,29.11,,,,
1879,0.86,21.79,,,,
1880,0.95,23.24,,,,
1881,0.86,21.04,,,,
1882,0.78,19.08,,,,
1883,1.00,25.33,,,,
1884,0.84,22.07,,,,
1885,0.88,23.12,,,,
1886,0.71,18.65,,,,
1887,0.67,17.60,,,,
1888,0.88,23.12,,,,
1889,0.94,24.70,,,,
1890,0.87,22.86,,,,
1891,0.67,17.60,,,,
1892,0.56,14.71,,,,
1893,0.64,16.81,,,,
1894,0.84,22.92,,,,
1895,1.36,38.59,,,,
1896,1.18,33.48,,,,
1897,0.79,22.42,,,,
1898,0.91,25.82,,,,
1899,1.29,36.60,,,,
1900,1.19,33.77,,,,
1901,0.96,27.24,,,,
1902,0.80,21.83,,,,
1903,0.94,24.70,,,,
1904,0.86,22.59,,,,
1905,0.62,16.29,,,,
1906,0.73,19.18,,,,
1907,0.72,18.24,,,,
1908,0.72,18.92,,,,
1909,0.70,18.39,,,,
1910,0.61,15.45,,,,
1911,0.61,15.45,,,,
1912,0.74,18.10,,,,
1913,0.95,22.69,,,,
1914,0.81,19.09,,,,
1915,0.64,14.93,,,,
1916,1.10,23.86,,,,
1917,1.56,28.81,,,,
1918,1.98,31.14,,,,
1919,2.01,27.53,,,,
1920,3.07,36.30,,,,
1921,1.73,22.90,,,,
1922,1.61,22.75,,,,
1923,1.34,18.60,,,,
1924,1.43,19.81,,,,
1925,1.68,22.70,,,,
1926,1.88,25.16,,,,
1927,1.30,17.73,,,,
1928,1.17,16.18,,,,
1929,1.27,17.56,,,,
1930,1.19,16.88,,,,
1931,0.65,10.11,,,,
1932,0.87,15.09,,,,
1933,0.67,12.25,,,,
1934,1.00,17.69,,,,
1935,0.97,16.74,,,,
1936,1.09,18.63,,,,
1937,1.18,19.47,,,,
1938,1.13,19.00,,,,
1939,1.02,17.39,,,,
1940,1.02,17.23,,,,
1941,1.14,18.34,,,,
1942,1.19,17.30,,,,
1943,1.20,16.44,,,,
1944,1.21,16.29,,,,
1945,1.05,13.82,,,,
1946,1.12,13.58,,,,
1947,1.90,20.15,,,,
1948,1.99,19.58,,,,
1949,1.78,17.69,,,,
1950,1.71,16.82,,,,
1951,1.71,15.59,,,,
1952,1.71,15.26,,,,
1953,1.93,17.09,,,,
1954,1.93,17.00,,,,
1955,1.93,17.07,,,,
1956,1.93,16.82,,,,
1957,1.90,15.98,,,,
1958,2.08,17.04,,,,
1959,2.08,16.89,,,,
1960,1.90,15.19,,,,
1961,1.80,14.25,,,,
1962,1.80,14.10,,,,
1963,1.80,13.93,,,,
1964,1.80,13.74,,,,
1965,1.80,13.51,,,,
1966,1.80,13.14,,,,
1967,1.80,12.77,,,,
1968,1.80,12.26,,,,
1969,1.80,11.63,,,,
1970,1.80,10.98,,,,
1971,2.24,13.09,,,,
1972,2.48,14.05,,,,
1973,3.29,17.55,,,,
1974,11.58,55.69,,,,
1975,11.53,50.80,,,,
1976,12.80,53.30,,,,
1977,13.92,54.41,,,,
1978,14.02,50.97,,,,
1979,31.61,103.20,,,,
1980,36.83,105.94,,,,
1981,35.93,93.69,,,,
1982,32.97,80.98,,,,
1983,29.55,70.32,,,,
1984,28.78,65.65,,,,
1985,27.56,60.71,,,,
1986,14.43,31.21,,,,
1987,18.44,38.46,,,,
1988,14.92,29.90,,,,
1989,18.23,34.84,,,,
1990,23.73,43.03,,,,
1991,20.00,34.81,,,,
1992,19.32,32.64,,,,
1993,16.97,27.84,,,,
1994,15.82,25.30,,,,
1995,17.02,26.46,,,,
1996,20.67,31.22,,,,
1997,19.09,28.19,,,,
1998,12.72,18.49,,,,
1999,17.97,25.57,,,,
2000,28.50,39.22,,,,
2001,24.44,32.71,,,,
2002,25.02,32.97,,,,
2003,28.83,37.14,,,,
2004,38.27,48.01,,,,
2005,54.52,66.17,,,,
2006,65.14,76.59,,,,
2007,72.39,82.75,,,,
2008,97.26,107.06,,,,
2009,61.67,68.13,,,,
2010,79.50,86.41,,,,
2011,111.26,117.23,,,,
2012,111.67,115.28,,,,
2013,108.66,110.55,,,,
2014,98.95,99.06,,,,
2015,52.39,52.39,,,,
,,,,,,
1861-1944 US Average.,,,,,,
1945-1983 Arabian Light posted at Ras Tanura.,,,,,,
1984-2015 Brent dated.,,,,,,
$2015 (deflated using the Consumer Price Index for the US),,,,,,
