Oil: Trade movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,
Thousand barrels daily,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2013,2014,2015,2014,of total,
Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,6735,5950,5040,4990,5380,5065,6045,6245,7240,8019,8026,7791,7888,8620,8929,8830,9400,9907,10382,10550,11092,11618,11357,12254,12898,13525,13612,13632,12872,11453,11689,11338,10587,9859,9240,9401,1.7%,15.4%,
Europe ,12244,10653,9750,9038,8970,8768,9282,8283,9487,9752,9801,10171,10319,10934,10748,10418,10405,10403,11043,10650,11094,11560,11922,12073,12599,13354,13530,14034,13885,12608,12201,12272,12569,12815,12619,13648,8.2%,22.3%,
China,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,678,527,679,828,1257,1054,1280,1893,1788,1987,2643,3445,3427,3883,4172,4494,5100,5886,6295,6675,6978,7398,8196,10.8%,13.4%,
Japan,4985,4460,4155,4145,4305,4045,4140,4125,4412,4549,4802,4925,5306,5307,5612,5581,5685,5735,5259,5346,5329,5202,5070,5314,5203,5225,5201,5032,4925,4263,4567,4494,4743,4637,4383,4346,-0.8%,7.1%,
Rest of World,8360,7970,6987,6523,6438,6610,7180,6270,7062,8270,8812,9451,9884,11473,11941,12557,13748,14282,14070,14538,14551,15292,15154,15209,16200,16654,17352,19748,19550,20023,20025,20773,21213,23668,24542,25631,4.4%,41.9%,
Total World,32324,29033,25932,24696,25093,24488,26647,24923,28201,30590,31441,32338,33397,37013,37757,38066,40066,41584,41808,42363,43959,45459,45490,47493,50345,52185,53578,56619,55726,53447,54368,55171,55787,57957,58182,61223,5.2%,100.0%,
Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,555,605,815,740,720,780,765,745,845,817,889,1000,918,959,943,949,978,976,1011,956,890,910,904,921,991,1129,1317,1439,1967,1947,2154,2495,2682,3563,4034,4636,14.9%,7.6%,
Canada,445,455,485,545,655,685,675,630,890,944,955,1111,1101,1215,1323,1401,1484,1492,1603,1520,1703,1804,1959,2096,2148,2201,2330,2457,2498,2518,2599,2798,3056,3296,3534,3828,8.3%,6.3%,
Mexico,875,1165,1535,1620,1635,1580,1405,1440,1427,1361,1387,1468,1469,1434,1421,1422,1656,1767,1770,1739,1814,1882,1966,2115,2070,2065,2102,1975,1609,1449,1539,1487,1366,1347,1293,1372,6.1%,2.2%,
South & Cent. America,3010,3215,2600,2445,2465,1985,2195,1595,1819,2150,2367,1953,2374,2391,2695,2797,3011,3219,3240,3145,3079,3143,2965,2942,3233,3528,3681,3570,3616,3748,3568,3755,3830,3790,3922,4068,3.7%,6.6%,
Europe #,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1365,1632,1453,1537,1513,1385,1906,2069,2017,2302,2127,2070,2231,2241,2305,2086,2074,1949,2106,2193,2578,2531,2905,14.8%,4.7%,
Russia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3714,3704,3468,3633,3697,3882,4214,4198,4631,5300,5795,6355,6878,6792,7827,7540,7257,7397,7448,7457,7948,7842,8253,5.2%,13.5%,
Other CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,96,282,359,358,497,561,651,879,888,1063,1118,1312,1538,1680,1790,1944,2080,1848,2102,1940,1875,-3.3%,3.1%,
USSR & Central Europe,2040,2192,2210,2591,2643,2549,2711,2589,3510,3201,2659,1860,2298,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Middle East,17510,14605,11660,10355,9845,9340,10880,10315,11842,13389,14212,13829,15453,16456,16513,16651,17170,18184,18702,18341,18944,19098,18062,18943,19630,19821,20204,19680,20128,18409,18883,19687,19581,20000,19945,20619,3.4%,33.7%,
North Africa,2820,2175,2145,2180,2290,2415,2515,2435,2598,2415,2604,2781,2849,2685,2652,2696,2756,2743,2712,2726,2732,2724,2620,2715,2917,3070,3225,3336,3260,2938,2871,1945,2596,2125,1695,1632,-3.7%,2.7%,
West Africa,2475,1730,1500,1425,1670,1765,1980,1880,2022,2319,2248,2500,2679,2676,2675,2723,2916,3102,3094,2985,3293,3182,3134,3612,4048,4358,4704,4830,4587,4364,4601,4637,4557,4428,4515,4458,-1.3%,7.3%,
Asia Pacific £,2099,2081,1952,1870,2220,2339,2301,2064,2006,2353,2182,2257,2414,3312,3361,3419,3861,3841,3496,3543,3736,3914,3848,3978,4189,4243,4312,6004,5392,5631,6226,6088,6299,6307,6425,7006,9.0%,11.4%,
Rest of World ,495,810,1030,925,950,1050,1220,1230,1242,1641,1938,3579,1842,806,839,990,780,690,556,791,940,1506,1551,1361,1631,1542,1359,1656,1363,1323,637,646,322,476,507,571,12.6%,0.9%,
Total World,32324,29033,25932,24696,25093,24488,26647,24923,28201,30590,31441,32338,33397,37013,37757,38066,40065,41584,41809,42363,43959,45461,45490,47493,50345,52185,53578,56619,55726,53447,54368,55171,55787,57957,58182,61223,5.2%,100.0%,
,,,,,,,,,,,,,,,,,,,,,,44789,,,,,,,,,,,,,,,,,
" Europe #  Prior to 1993, excludes Central Europe (Albania, Bulgaria, Czech Republic, Former Republic of Yugoslavia, Hungary, Poland, Romania, Slovakia).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 £ Excludes Japan. Excludes trade between other Asia Pacific countries and Singapore prior to 1993 and India prior to 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and West African exports excludes intra-Africa trade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Annual changes and shares of total are calculated using thousand barrels daily figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
