Oil: Refinery Capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,
Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,10390,10660,11350,11700,12020,12860,13290,13640,14360,14960,15240,16400,17050,17440,17990,18620,17890,16860,16140,15660,15460,15570,15920,15650,15570,15680,15700,15120,15030,15434,15333,15452,15711,16261,16512,16595,16785,16757,16894,17125,17339,17443,17594,17672,17584,17736,17322,17824,17925,17889,18315,2.4%,18.8%,
Canada,1089,1140,1239,1280,1344,1396,1652,1684,1846,2034,2089,2150,2153,2217,2232,2155,2160,2093,1873,1892,1880,1781,1883,1848,1885,1920,1903,1911,1824,1832,1792,1807,1811,1844,1861,1861,1917,1923,1959,1915,1896,1914,1907,1951,1976,1913,2040,2050,1965,1965,1966,0.1%,2.0%,
Mexico,417,417,457,525,525,562,562,594,722,722,746,822,822,991,1091,1226,1221,1215,1218,1269,1263,1280,1462,1462,1627,1627,1448,1448,1444,1444,1444,1444,1449,1449,1449,1481,1481,1463,1463,1463,1463,1463,1463,1463,1463,1463,1606,1606,1606,1602,1602,_,1.6%,
Total North America,11896,12217,13046,13505,13889,14818,15504,15918,16928,17716,18075,19372,20025,20648,21313,22001,21271,20168,19231,18821,18603,18631,19265,18960,19082,19227,19051,18479,18298,18710,18569,18703,18971,19554,19822,19937,20183,20143,20316,20503,20698,20821,20964,21086,21023,21113,20967,21479,21495,21456,21883,2.0%,22.5%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,402,414,412,424,434,438,604,602,624,721,684,703,655,684,684,684,684,684,677,677,677,677,679,682,681,681,685,679,679,654,639,640,644,642,618,625,613,613,615,620,615,617,628,628,625,625,625,657,657,657,657,_,0.7%,
Brazil,347,352,361,439,477,525,597,756,820,981,996,990,1110,1202,1202,1393,1394,1423,1435,1435,1435,1435,1435,1404,1440,1440,1445,1444,1429,1473,1481,1481,1750,1768,1796,1849,1849,1854,1915,1926,1942,1942,1960,1973,1988,1988,2010,2001,2093,2235,2278,1.9%,2.3%,
Chile,79,86,86,86,86,105,129,124,124,124,149,140,130,138,138,138,148,148,148,148,148,148,148,148,148,148,148,148,150,162,163,181,201,201,201,201,201,218,238,238,238,234,242,242,242,242,250,254,254,258,258,_,0.3%,
Colombia,95,123,123,132,131,131,165,172,166,172,172,165,165,166,176,191,191,201,212,212,212,217,227,227,227,245,253,253,253,253,275,289,306,306,313,323,323,324,311,311,311,324,324,326,336,336,336,336,336,336,421,25.3%,0.4%,
Curacao,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,_,0.3%,
Ecuador,18,11,19,35,31,34,34,35,35,35,39,44,102,102,102,102,102,102,102,102,102,102,147,147,147,147,147,147,147,147,157,157,157,177,177,177,177,177,177,177,177,177,175,175,175,175,175,175,175,175,175,_,0.2%,
Netherlands Antilles,703,755,755,755,798,797,797,945,980,849,810,802,842,842,792,782,782,782,761,620,320,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Peru,60,60,86,98,87,87,100,101,107,130,130,116,171,170,170,171,176,186,186,187,187,187,187,187,187,187,187,187,189,189,189,189,189,189,192,198,198,198,198,223,223,223,223,230,252,252,252,252,253,253,253,_,0.3%,
Trinidad & Tobago,341,390,405,430,433,436,436,450,450,456,456,456,456,436,436,436,436,410,355,310,300,300,300,300,300,273,240,240,240,240,240,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,_,0.2%,
Venezuela,1120,1135,1217,1222,1258,1289,1295,1474,1474,1474,1445,1445,1445,1371,1371,1283,1263,1253,1243,1243,1243,1186,1186,1186,1186,1186,1196,1202,1202,1202,1212,1212,1212,1215,1226,1269,1269,1269,1269,1284,1291,1294,1303,1303,1303,1303,1303,1303,1303,1303,1303,_,1.3%,
Other S. & Cent. America,396,472,505,551,687,965,1164,1347,1857,1855,2005,1999,2034,2018,2020,2023,1988,1675,1667,1597,1197,1197,1198,1185,1307,1377,1445,1460,1410,1344,1184,1208,1133,1114,1150,1109,1133,1112,1143,1151,1144,1150,1192,1176,900,901,1013,356,364,371,392,5.7%,0.4%,
Total S. & Cent. America,3562,3799,3969,4172,4423,4808,5321,6005,6636,6796,6886,6860,7110,7129,7091,7203,7164,6864,6786,6531,5821,5769,5827,5786,5943,6004,6066,6080,6019,5984,5860,5842,6077,6097,6158,6236,6248,6250,6351,6415,6426,6446,6532,6538,6306,6307,6449,5819,5920,6073,6222,2.5%,6.4%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,80,80,80,80,80,151,151,151,221,221,221,291,291,291,291,291,291,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,193,193,193,193,193,_,0.2%,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,720,720,720,720,720,720,720,720,720,720,650,490,450,430,405,285,285,285,285,285,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,_,0.2%,
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,340,340,380,500,500,500,500,500,480,460,460,460,460,460,460,460,460,460,460,460,460,_,0.5%,
Belgium,335,352,502,611,692,721,837,847,865,936,978,1113,1082,1076,1076,1060,1060,726,726,607,569,609,676,686,693,684,662,662,662,665,669,686,689,707,709,739,758,780,776,751,756,766,781,786,786,787,788,753,776,776,776,_,0.8%,
Bulgaria,54,63,63,74,100,131,161,170,201,231,231,240,241,277,277,277,277,277,277,277,277,277,277,277,277,277,267,257,237,237,210,210,210,120,120,120,120,120,120,180,205,205,175,175,180,195,195,195,195,195,195,_,0.2%,
Czech Republic,24,24,58,58,58,58,58,58,58,120,120,120,120,120,120,120,120,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,200,200,200,200,200,193,193,193,193,193,193,193,193,193,178,178,178,178,_,0.2%,
Denmark,53,113,127,162,179,189,216,222,227,220,226,226,221,220,220,220,220,185,185,174,175,175,175,174,193,193,193,180,185,185,221,234,178,178,184,184,184,189,189,188,189,189,189,189,189,189,181,181,181,180,180,_,0.2%,
