COUNTRY,OILPRODUCTION,GDP
NA,http://www.worldstopexports.com/worlds-top-oil-exports-country/,https://www.cia.gov/library/publications/the-world-factbook/fields/2195.html
SAUDIARABIA,133300000000,653200000000
RUSSIA,86200000000,1325000000000
IRAQ,52200000000,169500000000
UAE,51200000000,345500000000
NIGERIA,38000000000,490200000000
KUWAIT,34100000000,120700000000
VENEZUELA,27800000000,239600000000
NORWAY,25700000000,389500000000
IRAN,20500000000,387600000000
MEXICO,18800000000,1144000000000
UK,16100000000,2849000000000
ALGERIA,12700000000,172300000000
BRAZIL,11800000000,1773000000000
QATAR,10600000000,185400000000
NETHERLANDS,8800000000,738400000000
USA,8700000000,17950000000000
MALAYSIA,6900000000,296200000000
CHINA,1500000000,10980000000000
ITALY,309100000,1816000000000
FRANCE,18400000,2422000000000
